province,poverty_rate,poverty_rate_year,ipm,ipm_year,population,population_year,participation_rate,participation_rate_year,expenditure_per_capita,expenditure_per_capita_year,stunting_rate,stunting_category,stunting_rate_year
Aceh,12.22,2025,74.03,2024,5388.1,2020.0,99.43,2023.0,11191,2025,28.6,(20%-29.9%) Medium,2024
Bali,3.42,2025,77.76,2024,4414.4,2020.0,99.61,2023.0,15383,2025,8.7,(0%-19.9%) Rendah,2024
Banten,5.51,2025,74.48,2024,12895.3,2020.0,99.43,2023.0,13498,2025,21.1,(20%-29.9%) Medium,2024
Bengkulu,11.88,2025,73.39,2024,1994.3,2020.0,99.42,2023.0,12197,2025,18.8,(0%-19.9%) Rendah,2024
Di Yogyakarta,10.08,2025,81.55,2024,3919.2,2020.0,99.63,2023.0,15855,2025,17.4,(0%-19.9%) Rendah,2024
Dki Jakarta,4.03,2025,83.08,2024,10576.4,2020.0,99.49,2023.0,20676,2025,17.3,(0%-19.9%) Rendah,2024
Gorontalo,12.62,2025,71.23,2024,1186.3,2020.0,98.69,2023.0,11937,2025,23.8,(20%-29.9%) Medium,2024
Jambi,6.89,2025,73.43,2024,3604.2,2020.0,99.49,2023.0,12018,2025,17.1,(0%-19.9%) Rendah,2024
Jawa Barat,6.78,2025,74.43,2024,49565.2,2020.0,99.4,2023.0,12447,2025,15.9,(0%-19.9%) Rendah,2024
Jawa Tengah,9.39,2025,73.88,2024,34738.2,2020.0,99.57,2023.0,12746,2025,17.1,(0%-19.9%) Rendah,2024
Jawa Timur,9.3,2025,74.09,2024,39955.9,2020.0,99.28,2023.0,13509,2025,14.7,(0%-19.9%) Rendah,2024
Kalimantan Barat,5.97,2025,70.13,2024,5104.9,2020.0,98.81,2023.0,10689,2025,26.8,(20%-29.9%) Medium,2024
Kalimantan Selatan,3.73,2025,73.03,2024,4268.6,2020.0,99.3,2023.0,13757,2025,22.9,(20%-29.9%) Medium,2024
Kalimantan Tengah,4.94,2025,72.73,2024,2686.3,2020.0,99.13,2023.0,12612,2025,22.1,(20%-29.9%) Medium,2024
Kalimantan Timur,5.19,2025,78.83,2024,3664.7,2020.0,99.64,2023.0,14254,2025,22.2,(20%-29.9%) Medium,2024
Kalimantan Utara,5.47,2025,73.02,2024,708.4,2020.0,99.22,2023.0,10568,2025,17.6,(0%-19.9%) Rendah,2024
Kep. Bangka Belitung,4.77,2025,73.33,2024,1469.8,2020.0,99.51,2023.0,13837,2025,20.1,(20%-29.9%) Medium,2024
Kep. Riau,4.26,2025,77.97,2024,2309.5,2020.0,99.29,2023.0,15881,2025,15.0,(0%-19.9%) Rendah,2024
Lampung,9.66,2025,71.81,2024,8534.8,2020.0,99.61,2023.0,11683,2025,15.9,(0%-19.9%) Rendah,2024
Maluku,15.25,2025,71.57,2024,1787.1,2020.0,99.59,2023.0,9900,2025,28.4,(20%-29.9%) Medium,2024
Maluku Utara,5.59,2025,71.03,2024,1252.3,2020.0,99.12,2023.0,9613,2025,23.2,(20%-29.9%) Medium,2024
Nusa Tenggara Barat,11.38,2025,70.93,2024,5225.9,2020.0,99.46,2023.0,11922,2025,29.8,(20%-29.9%) Medium,2024
Nusa Tenggara Timur,17.5,2025,67.39,2024,5513.4,2020.0,98.62,2023.0,8735,2025,37.0,(30%-39.9%) Tinggi,2024
Papua,17.82,2025,73.0,2024,3393.1,2020.0,83.61,2023.0,11342,2025,24.7,(20%-29.9%) Medium,2024
Papua Barat,19.58,2025,67.02,2024,986.0,2020.0,98.41,2023.0,9115,2025,24.6,(20%-29.9%) Medium,2024
Papua Barat Daya,17.5,2025,68.63,2024,,,,,9076,2025,30.5,(30%-39.9%) Tinggi,2024
Papua Pegunungan,27.21,2025,53.42,2024,,,,,5861,2025,40.0,(≥40%) Sangat Tinggi,2024
Papua Selatan,19.26,2025,67.9,2024,,,,,9983,2025,25.8,(20%-29.9%) Medium,2024
Papua Tengah,29.45,2025,59.75,2024,,,,,8036,2025,32.5,(30%-39.9%) Tinggi,2024
Riau,6.3,2025,74.79,2024,6951.2,2020.0,99.65,2023.0,12233,2025,20.1,(20%-29.9%) Medium,2024
Sulawesi Barat,10.18,2025,68.2,2024,1378.1,2020.0,98.31,2023.0,10516,2025,35.4,(30%-39.9%) Tinggi,2024
Sulawesi Selatan,7.43,2025,74.05,2024,8888.8,2020.0,99.49,2023.0,12773,2025,23.3,(20%-29.9%) Medium,2024
Sulawesi Tengah,10.52,2025,71.56,2024,3081.7,2020.0,98.34,2023.0,10934,2025,26.1,(20%-29.9%) Medium,2024
Sulawesi Tenggara,10.14,2025,73.48,2024,2703.5,2020.0,99.2,2023.0,10992,2025,26.1,(20%-29.9%) Medium,2024
Sulawesi Utara,6.62,2025,75.03,2024,2512.9,2020.0,99.34,2023.0,12450,2025,20.8,(20%-29.9%) Medium,2024
Sumatera Barat,5.31,2025,74.49,2024,5545.7,2020.0,99.76,2023.0,12041,2025,24.9,(20%-29.9%) Medium,2024
Sumatera Selatan,9.85,2025,72.3,2024,8600.8,2020.0,99.41,2023.0,12416,2025,15.9,(0%-19.9%) Rendah,2024
Sumatera Utara,7.24,2025,74.02,2024,14798.4,2020.0,99.51,2023.0,11898,2025,22.0,(20%-29.9%) Medium,2024
