province,rank,percentile,npi,tier_jenks,tier_boundary_flag,tier_quartile,tier_quintile,tier_policy_threshold,npi_pca_benchmark,methodology,socioeconomic_vulnerability,education_access,data_completeness,estimated_children_affected,stunting_rate,stunting_category
Papua Pegunungan,1.0,100.0,1.0,Critical,False,Critical,Very High,Critical,1.0,single_indicator:expenditure_per_capita,1.0,,partial: education_access unavailable,,40.0,(≥40%) Sangat Tinggi
Papua Tengah,2.0,97.36842105263158,0.8531893351333109,Critical,False,Critical,Very High,Critical,0.9276664677074956,single_indicator:expenditure_per_capita,0.8531893351333109,,partial: education_access unavailable,,32.5,(30%-39.9%) Tinggi
Papua,3.0,94.73684210526316,0.8150185622679716,Critical,False,Critical,Very High,Critical,0.7625454712747124,single_indicator:expenditure_per_capita,0.6300371245359433,1.0,full,838.0957,24.7,(20%-29.9%) Medium
Papua Barat Daya,4.0,92.10526315789474,0.7829902126223423,Critical,False,Critical,Very High,Critical,0.6109268675443857,single_indicator:expenditure_per_capita,0.7829902126223423,,partial: education_access unavailable,,30.5,(30%-39.9%) Tinggi
Papua Selatan,5.0,89.47368421052632,0.7217684778940263,Critical,False,Critical,Very High,High,0.6304238599259274,single_indicator:expenditure_per_capita,0.7217684778940263,,partial: education_access unavailable,,25.8,(20%-29.9%) Medium
Nusa Tenggara Timur,6.0,86.8421052631579,0.4382978301006531,High,True,Critical,Very High,Medium,0.3507079526132426,single_indicator:expenditure_per_capita,0.8060074249071887,0.0705882352941176,full,2039.958,37.0,(30%-39.9%) Tinggi
Papua Barat,7.0,84.21052631578947,0.4319745383987656,High,True,Critical,Very High,Medium,0.372983321326602,single_indicator:expenditure_per_capita,0.7803577455281809,0.0835913312693503,full,242.556,24.6,(20%-29.9%) Medium
Maluku Utara,8.0,81.57894736842105,0.3931858243412824,High,False,Critical,Very High,Medium,0.2065589468645564,single_indicator:expenditure_per_capita,0.7467431657104286,0.0396284829721362,full,290.5336,23.2,(20%-29.9%) Medium
Sulawesi Barat,9.0,78.94736842105263,0.3877873546704506,High,False,Critical,High,Medium,0.2764710857239056,single_indicator:expenditure_per_capita,0.685791427607155,0.0897832817337462,full,487.8474,35.4,(30%-39.9%) Tinggi
Sulawesi Tengah,10.0,76.31578947368422,0.3727512384423368,High,False,Critical,High,Medium,0.2564728979725681,single_indicator:expenditure_per_capita,0.6575767802902464,0.0879256965944273,full,804.3236999999999,26.1,(20%-29.9%) Medium
Maluku,11.0,73.68421052631578,0.3689486118265627,High,False,High,High,Medium,0.2679606441935844,single_indicator:expenditure_per_capita,0.7273709078636517,0.0105263157894737,full,507.5363999999999,28.4,(20%-29.9%) Medium
Kalimantan Barat,12.0,71.05263157894737,0.3664688014929226,High,False,High,High,Medium,0.2134635098558408,single_indicator:expenditure_per_capita,0.6741140735740804,0.0588235294117648,full,1368.1132,26.8,(20%-29.9%) Medium
Kalimantan Utara,13.0,68.42105263157895,0.3578590019946733,High,False,High,High,Medium,0.1824354521862782,single_indicator:expenditure_per_capita,0.6822814714816064,0.0334365325077403,full,124.6784,17.6,(0%-19.9%) Rendah
Sulawesi Tenggara,14.0,65.78947368421053,0.344168375913877,High,True,High,High,Medium,0.2158899084519976,single_indicator:expenditure_per_capita,0.6536618292271347,0.0346749226006193,full,705.6135,26.1,(20%-29.9%) Medium
Aceh,15.0,63.1578947368421,0.3303314668318967,Medium,True,High,High,Medium,0.2214651181850141,single_indicator:expenditure_per_capita,0.6402294971312859,0.0204334365325076,full,1540.9966000000004,28.6,(20%-29.9%) Medium
Gorontalo,16.0,60.526315789473685,0.3280644982649793,Medium,True,High,Medium,Medium,0.2551886876416642,single_indicator:expenditure_per_capita,0.589875126560918,0.0662538699690406,full,282.3394,23.8,(20%-29.9%) Medium
Lampung,17.0,57.89473684210527,0.3081539189738458,Medium,False,High,Medium,Medium,0.201130815782035,single_indicator:expenditure_per_capita,0.6070199122510969,0.0092879256965947,full,1357.0332,15.9,(0%-19.9%) Rendah
Nusa Tenggara Barat,18.0,55.26315789473685,0.3047317326490078,Medium,False,High,Medium,Medium,0.2226053215096258,single_indicator:expenditure_per_capita,0.5908876139048261,0.0185758513931895,full,1557.3182000000002,29.8,(20%-29.9%) Medium
Sumatera Utara,19.0,52.63157894736842,0.303993734908035,Medium,False,High,Medium,Medium,0.1699309475561542,single_indicator:expenditure_per_capita,0.5925075936550793,0.0154798761609907,full,3255.6479999999997,22.0,(20%-29.9%) Medium
Jambi,20.0,50.0,0.3005629805788422,Medium,False,Medium,Medium,Medium,0.1695263862076825,single_indicator:expenditure_per_capita,0.5844076949038137,0.0167182662538705,full,616.3182,17.1,(0%-19.9%) Rendah
Bengkulu,21.0,47.368421052631575,0.2966889887560617,Medium,False,Medium,Medium,Medium,0.2123124268658796,single_indicator:expenditure_per_capita,0.5723253459331759,0.0210526315789475,full,374.9284,18.8,(0%-19.9%) Rendah
Kalimantan Tengah,22.0,44.73684210526316,0.291661242005373,Medium,False,Medium,Medium,Medium,0.1620039410039502,single_indicator:expenditure_per_capita,0.5443131960850489,0.0390092879256971,full,593.6723000000001,22.1,(20%-29.9%) Medium
Sumatera Barat,23.0,42.10526315789473,0.2914276071549105,Medium,False,Medium,Medium,Medium,0.1419680617556796,single_indicator:expenditure_per_capita,0.5828552143098211,0.0,full,1380.8792999999998,24.9,(20%-29.9%) Medium
Sulawesi Utara,24.0,39.473684210526315,0.290627125674861,Medium,False,Medium,Low,Medium,0.1591280553872215,single_indicator:expenditure_per_capita,0.5552480593992575,0.0260061919504644,full,522.6832,20.8,(20%-29.9%) Medium
Sumatera Selatan,25.0,36.84210526315789,0.2896074286687518,Medium,False,Medium,Low,Medium,0.1990630734139909,single_indicator:expenditure_per_capita,0.5575430307121161,0.0216718266253875,full,1367.5272,15.9,(0%-19.9%) Rendah
Jawa Barat,26.0,34.21052631578947,0.2888707892699328,Medium,False,Medium,Low,Medium,0.1618309040295717,single_indicator:expenditure_per_capita,0.5554505568680391,0.0222910216718265,full,7880.8668,15.9,(0%-19.9%) Rendah
Riau,27.0,31.57894736842105,0.288353260909316,Medium,False,Medium,Low,Medium,0.1502490452913273,single_indicator:expenditure_per_capita,0.5698953763077962,0.0068111455108358,full,1397.1912,20.1,(20%-29.9%) Medium
Sulawesi Selatan,28.0,28.947368421052634,0.2750820490904858,Medium,False,Medium,Low,Medium,0.1633185740261156,single_indicator:expenditure_per_capita,0.5334458319271009,0.0167182662538705,full,2071.0903999999996,23.3,(20%-29.9%) Medium
Jawa Tengah,29.0,26.31578947368421,0.2735165075142446,Medium,False,Low,Low,Medium,0.1785787138583374,single_indicator:expenditure_per_capita,0.5352683091461357,0.0117647058823536,full,5940.2321999999995,17.1,(0%-19.9%) Rendah
Jawa Timur,30.0,23.684210526315788,0.2567439075742204,Medium,False,Low,Low,Medium,0.1781159706878422,single_indicator:expenditure_per_capita,0.4837664529193385,0.0297213622291024,full,5873.5172999999995,14.7,(0%-19.9%) Rendah
Banten,31.0,21.052631578947366,0.252471190085356,Medium,False,Low,Very Low,Medium,0.1394769752376707,single_indicator:expenditure_per_capita,0.4845089436382045,0.0204334365325076,full,2720.9083,21.1,(20%-29.9%) Medium
Kalimantan Selatan,32.0,18.421052631578945,0.2477548171514731,Medium,False,Low,Very Low,Low,0.1335662754933202,single_indicator:expenditure_per_capita,0.4670266621667229,0.0284829721362233,full,977.5094,22.9,(20%-29.9%) Medium
Kep. Bangka Belitung,33.0,15.789473684210526,0.2385533029134349,Medium,False,Low,Very Low,Low,0.1334736949707568,single_indicator:expenditure_per_capita,0.4616267296658792,0.0154798761609907,full,295.4298,20.1,(20%-29.9%) Medium
Kalimantan Timur,34.0,13.157894736842104,0.2204549610312535,Medium,False,Low,Very Low,Low,0.0997303722130093,single_indicator:expenditure_per_capita,0.4334795815052312,0.0074303405572758,full,813.5634,22.2,(20%-29.9%) Medium
Bali,35.0,10.526315789473683,0.1832804798918343,Low,True,Low,Very Low,Low,0.0801661992426508,single_indicator:expenditure_per_capita,0.3572730340870739,0.0092879256965947,full,384.05279999999993,8.7,(0%-19.9%) Rendah
Kep. Riau,36.0,7.894736842105263,0.176380310725992,Low,True,Low,Very Low,Low,0.0911223400855964,single_indicator:expenditure_per_capita,0.3236584542693216,0.0291021671826624,full,346.425,15.0,(0%-19.9%) Rendah
Di Yogyakarta,37.0,5.263157894736842,0.1667314839679058,Low,True,Low,Very Low,Low,0.1110897662455898,single_indicator:expenditure_per_capita,0.3254134323320958,0.0080495356037157,full,681.9407999999999,17.4,(0%-19.9%) Rendah
Dki Jakarta,38.0,2.631578947368421,0.0083591331269352,Low,False,Low,Very Low,Low,0.0083591331269352,single_indicator:expenditure_per_capita,0.0,0.0167182662538705,full,1829.7172,17.3,(0%-19.9%) Rendah
